Taxon ID,Number of Nodes,Number of Edges,Average Node Degree,Graph Density,Graph Diameter
218495,1759,144269,15957.252434268155,0.09330787673469969,5
1339239,2525,195925,12760.623402297331,0.0614849916053412,5
,,,,,
,,,,,
358681,5858,783587,30165.901297195753,0.04567647983087064,6
136037,11249,1457721,40642.0674486473,0.023041735209717393,6
1173029,4449,623363,38943.36900685824,0.06300047622050707,7
1906740,5621,737042,23521.13052086712,0.046662965075678964,8
1537915,2463,270210,23847.767254542356,0.08912077462942203,5
1802196,2778,291619,25793.916302918562,0.07560276704691136,5
70601,1785,119772,11636.909729937865,0.07522327316576854,7
1801897,656,24513,4758.169331796033,0.11409886427108545,5
314262,4473,532849,22329.95822439311,0.05327622663030459,5
1262848,1817,104895,6513.808156128823,0.06357904664463619,5
1337886,4521,661443,48035.641453501084,0.06473653921816185,6
162160,3327,360865,18536.003677402143,0.065222841016693,6
1408321,2481,216222,13706.31681951863,0.07028318445996021,5
1849359,4330,569926,28879.460807647483,0.06080971716075642,5
1905847,3481,339216,12170.382364030907,0.056004517132413396,5
326298,2093,151756,11364.09829979965,0.06931782989643161,5
1560354,3059,333022,23635.69827782793,0.0712009785318644,5
1160784,138,5443,1905.6559129276523,0.5757960435840473,4
670386,7444,2121656,228535.64774332082,0.07658621067308391,10
1576369,4857,429531,16564.359602407098,0.03642316885664774,7
,,,,,
1206725,6513,1084683,46894.9792433102,0.05114902495142016,5
1797299,667,33116,7499.510387384563,0.1490966228597413,4
1834081,4957,981659,74740.1535197952,0.07991723169540535,7
2702,1256,222223,86878.23621655247,0.2819587890476311,5
36870,611,29574,5923.28618385161,0.15869711035389444,4
1736296,4860,687667,30349.4945706598,0.05824048877946571,6
1618882,688,39214,9134.127032665332,0.16593040181442742,4
1660138,3449,431398,29076.370362975176,0.07255171309616627,5
1662285,2745,218275,10772.643214614973,0.057957218796964534,5
1712410,3587,346092,19744.805783669843,0.053812094271763734,6
1385935,6900,1202309,54326.26494969104,0.05051389510347015,6
103372,10641,1519955,49765.82653762673,0.02684952796425798,7
1572701,2681,226229,12272.702033718162,0.0629718806192833,6
408657,5861,880286,29958.931679831905,0.051260690641499636,5
573570,1970,142403,12464.640875332363,0.07342385657900503,5
1881030,3658,406148,19901.60959449513,0.060721942071146465,6
1618811,985,54480,9643.633767845242,0.11241797697164789,5
1277257,957,53006,7914.341760091761,0.11587378619552909,6
649760,3181,200853,9443.092285611283,0.03971161317492423,7
64571,8019,3178794,440929.2029360447,0.09887946657991833,6
91604,1663,79072,7039.375641263906,0.05721757541681953,8
762968,3871,280217,11789.24616874115,0.03741022657713856,8
1895859,3064,324483,18983.870999925904,0.06914904498993717,5
1729690,4725,579083,24779.141436259688,0.051887065485710704,5
52247,4480,1092071,179690.246613282,0.10884833588492329,5
429728,3563,371321,18803.62610593492,0.05851534495074856,6
318996,7334,1418151,64212.158229276036,0.05273875589431371,6
1555112,3550,310571,18890.723094874553,0.049301092551363404,5
162156,2917,265466,13831.499386657362,0.062418733567427685,7
361077,7063,1890336,201563.42396793517,0.07579701126564403,6
1150157,5358,673527,26234.2909183607,0.04693109098810758,7
28094,5706,970834,60641.12685368003,0.05964685603941666,5
408074,5517,767792,24182.60095094661,0.05045989434989195,6
437897,2238,142310,8235.36875261258,0.056851162290872934,6
1234364,3979,521996,35033.41120230454,0.06595662926694963,5
109895,5909,2056974,368793.005111756,0.11784314415211616,6
1945863,4370,510050,18471.023319991185,0.05342927312409618,5
1805323,1204,63784,8446.796582871184,0.08807438767422529,5
880073,4083,401128,24886.731583343768,0.04813495759175453,6
1735114,3547,518866,57709.5840982092,0.08250595380922146,6
767452,3067,284216,14806.509980276855,0.060449483177507084,5
260554,3929,467806,21792.70577723721,0.06062367719485221,6
1449350,4167,475619,21036.322181385432,0.05479569315683742,5
1267562,4438,501953,19709.7408123377,0.05098193597755285,5
665577,7256,1398068,57055.55198497816,0.05311578449869572,6
1215089,3167,321325,21421.762248196555,0.06409372873806614,5
1674847,1127,58002,6313.92212536059,0.09141356751210794,5
1802281,655,21448,3313.964722959375,0.10013773140042487,5
1798184,3126,251288,15264.560583300348,0.05144731925783749,6
1210046,3016,280452,13094.283485111988,0.06168362431872468,5
1120975,2166,170117,14335.162589025464,0.07255399956071046,5
1174501,5866,881725,29603.7443897507,0.05125698717797797,6
283942,2616,221262,11577.679856647293,0.06468854702054133,5
504487,3279,278540,10397.951169612674,0.0518283282917287,6
1203610,5251,701413,28364.234814915253,0.050886488741373526,5
145388,11721,2333842,89869.10768773528,0.033978888567615724,6
1463880,7827,1526294,58450.3189791647,0.049834833918551286,6
935566,3087,448690,41791.562139353584,0.09419846696818406,5
1123250,2419,215048,15493.413794338316,0.07353146837604559,5
1210065,7604,1534191,76986.52629937792,0.05307406203274089,6
252246,2867,248562,13973.623358699113,0.06050076294703719,5
1122204,2858,229005,12387.571318791635,0.05609220279068537,7
1104568,916,35500,3724.026011676338,0.08471138473286086,5
310782,6958,1151792,39086.66075841663,0.047588018924446286,7
246194,2549,180422,11969.852967345072,0.055558463841824265,6
1801615,1937,142310,9752.472475165805,0.07589801900357117,6
,,,,,
1618520,1090,57200,7817.509660678022,0.09637661013807802,6
1110504,703,42619,10367.286852627643,0.1727192779824359,5
546414,2602,220262,16514.002071589537,0.06509114776111949,6
1779382,3463,376731,21333.050120190896,0.06284660168325618,5
946483,2599,277445,27605.272345745114,0.08217911727166931,5
1387353,5463,538484,19396.700575486015,0.0360927441508747,6
748909,4309,493843,16602.347212311917,0.05320674720893606,6
1838285,1742,202867,30804.967126037052,0.13378101319497154,5
1426,3523,365948,21937.913706792173,0.058985787079729006,6
